year,nuts_id,nuts_year_spec,epo_patent_applications
2009,UKD11,2010,3.0
2009,UKD12,2010,11.0
2009,UKD41,2010,25.0
2009,UKD42,2010,2.0
2009,UKD61,2010,12.0
2009,UKD62,2010,37.0
2009,UKD63,2010,28.0
2009,UKD71,2010,21.0
2009,UKD72,2010,29.0
2009,UKD73,2010,4.0
2009,UKD74,2010,22.0
2009,UKE11,2010,85.0
2009,UKE12,2010,20.0
2009,UKE13,2010,16.0
2009,UKE21,2010,19.0
2009,UKE22,2010,72.0
2009,UKE31,2010,32.0
2009,UKE32,2010,28.0
2009,UKE41,2010,28.0
2009,UKE42,2010,88.0
2009,UKE44,2010,36.0
2009,UKE45,2010,28.0
2009,UKF11,2010,21.0
2009,UKF12,2010,38.0
2009,UKF13,2010,24.0
2009,UKF14,2010,46.0
2009,UKF15,2010,30.0
2009,UKF16,2010,49.0
2009,UKF21,2010,13.0
2009,UKF22,2010,83.0
2009,UKF24,2010,49.0
2009,UKF25,2010,41.0
2009,UKF30,2010,27.0
2009,UKG11,2010,6.0
2009,UKG12,2010,74.0
2009,UKG13,2010,75.0
2009,UKG21,2010,6.0
2009,UKG22,2010,13.0
2009,UKG23,2010,11.0
2009,UKG24,2010,39.0
2009,UKG31,2010,106.0
