lep_id,lep_year,year,value,variable,description,unit,lep_name
E37000034,2017,2017,70.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Tees Valley
E37000034,2017,2018,65.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Tees Valley
E37000035,2014,2014,400.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Thames Valley Berkshire
E37000035,2014,2015,370.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Thames Valley Berkshire
E37000035,2014,2016,315.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Thames Valley Berkshire
E37000035,2017,2017,295.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Thames Valley Berkshire
E37000035,2017,2018,285.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Thames Valley Berkshire
E37000036,2014,2014,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,The Marches
E37000036,2014,2015,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,The Marches
E37000036,2014,2016,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,The Marches
E37000036,2017,2017,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,The Marches
E37000036,2017,2018,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,The Marches
E37000037,2014,2014,1715.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,West of England
E37000037,2014,2015,1730.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,West of England
E37000037,2014,2016,1855.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,West of England
E37000037,2017,2017,1900.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,West of England
E37000037,2017,2018,1935.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,West of England
E37000038,2014,2014,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Worcestershire
E37000038,2014,2015,15.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Worcestershire
E37000038,2014,2016,20.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Worcestershire
E37000038,2017,2017,20.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Worcestershire
E37000038,2017,2018,25.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Worcestershire
E37000039,2014,2014,670.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,"York, North Yorkshire and East Riding"
E37000039,2014,2015,670.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,"York, North Yorkshire and East Riding"
E37000039,2014,2016,655.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,"York, North Yorkshire and East Riding"
E37000039,2017,2017,650.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,"York, North Yorkshire and East Riding"
E37000039,2017,2018,675.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,"York, North Yorkshire and East Riding"
E37000040,2014,2014,1530.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Sheffield City Region
E37000040,2014,2015,1520.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Sheffield City Region
E37000040,2014,2016,1460.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Sheffield City Region
E37000040,2017,2017,1425.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Sheffield City Region
E37000040,2017,2018,1410.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Sheffield City Region
E37000041,2017,2017,680.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East Midlands
E37000041,2017,2018,660.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,South East Midlands
E37000042,2017,2017,2475.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Cambridge and Greater Peterborough
E37000042,2017,2018,2505.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Cambridge and Greater Peterborough
