year,nuts_id,nuts_year_spec,net_migration_rate_international
2014,UKL23,2016,-0.18
2015,UKL23,2016,1.97
2016,UKL23,2016,-0.24
2017,UKL23,2016,0.19
2018,UKL23,2016,0.6
2009,UKM82,2016,9.18
2010,UKM82,2016,11.9
2011,UKM82,2016,5.95
2012,UKM82,2016,3.46
2013,UKM82,2016,6.66
2014,UKM82,2016,11.67
2015,UKM82,2016,12.9
2016,UKM82,2016,8.69
2017,UKM82,2016,8.46
2018,UKM82,2016,12.62
2009,UKK13,2016,1.3
2010,UKK13,2016,2.35
2011,UKK13,2016,1.24
2012,UKK13,2016,0.81
2013,UKK13,2016,1.4
2014,UKK13,2016,1.62
2015,UKK13,2016,1.16
2016,UKK13,2016,0.95
2017,UKK13,2016,1.98
2018,UKK13,2016,-0.6
2009,UKD37,2016,1.23
2010,UKD37,2016,1.94
2011,UKD37,2016,1.34
2012,UKD37,2016,1.34
2013,UKD37,2016,1.88
2014,UKD37,2016,3.2
2015,UKD37,2016,5.2
2016,UKD37,2016,3.03
2017,UKD37,2016,3.29
2018,UKD37,2016,4.53
2009,UKD36,2016,1.91
2010,UKD36,2016,2.34
2011,UKD36,2016,1.48
2012,UKD36,2016,1.28
2013,UKD36,2016,1.4
2014,UKD36,2016,2.32
2015,UKD36,2016,3.43
2016,UKD36,2016,1.85
2017,UKD36,2016,2.28
2018,UKD36,2016,3.54
2009,UKD35,2016,0.3
2010,UKD35,2016,0.45
2011,UKD35,2016,0.09
2012,UKD35,2016,-0.12
2013,UKD35,2016,0.12
2014,UKD35,2016,0.49
2015,UKD35,2016,0.92
2016,UKD35,2016,0.28
2017,UKD35,2016,0.66
2018,UKD35,2016,1.78
2009,UKD34,2016,3.24
2010,UKD34,2016,3.48
2011,UKD34,2016,1.91
2012,UKD34,2016,1.81
2013,UKD34,2016,3.13
2014,UKD34,2016,4.81
2015,UKD34,2016,4.18
2016,UKD34,2016,2.06
2017,UKD34,2016,2.0
2018,UKD34,2016,4.19
2009,UKL16,2016,-0.65
2010,UKL16,2016,-0.28
2011,UKL16,2016,-0.25
2012,UKL16,2016,0.24
2013,UKL16,2016,0.34
2014,UKL16,2016,0.34
2015,UKL16,2016,0.6
2016,UKL16,2016,0.21
2017,UKL16,2016,0.16
2018,UKL16,2016,0.19
2009,UKL12,2016,0.73
2010,UKL12,2016,2.75
2011,UKL12,2016,3.34
2012,UKL12,2016,4.71
2013,UKL12,2016,4.43
2014,UKL12,2016,6.79
2015,UKL12,2016,6.13
2016,UKL12,2016,3.55
2017,UKL12,2016,4.88
2018,UKL12,2016,6.3
2009,UKI41,2016,27.8
2010,UKI41,2016,24.48
2011,UKI41,2016,18.25
2012,UKI41,2016,17.33
2013,UKI41,2016,20.97
2014,UKI41,2016,22.71
2015,UKI41,2016,22.34
2016,UKI41,2016,15.98
2017,UKI41,2016,16.9
2018,UKI41,2016,11.38
2009,UKI43,2016,12.69
2010,UKI43,2016,18.06
2011,UKI43,2016,15.57
2012,UKI43,2016,15.19
2013,UKI43,2016,19.59
2014,UKI43,2016,21.82
2015,UKI43,2016,17.8
2016,UKI43,2016,12.41
2017,UKI43,2016,15.36
2018,UKI43,2016,10.41
2009,UKI74,2016,10.93
2010,UKI74,2016,13.39
2011,UKI74,2016,8.09
2012,UKI74,2016,7.19
2013,UKI74,2016,11.22
2014,UKI74,2016,13.16
2015,UKI74,2016,13.02
2016,UKI74,2016,10.58
2017,UKI74,2016,12.07
2018,UKI74,2016,9.74
2009,UKC11,2016,1.0
2010,UKC11,2016,1.17
2011,UKC11,2016,0.45
2012,UKC11,2016,1.6
2013,UKC11,2016,1.4
2014,UKC11,2016,2.14
2015,UKC11,2016,3.39
2016,UKC11,2016,2.06
2017,UKC11,2016,3.99
2018,UKC11,2016,4.84
2009,UKH36,2016,1.52
2010,UKH36,2016,0.61
2011,UKH36,2016,1.32
2012,UKH36,2016,1.16
2013,UKH36,2016,1.94
2014,UKH36,2016,3.19
2015,UKH36,2016,1.96
2016,UKH36,2016,1.42
2017,UKH36,2016,1.25
2018,UKH36,2016,1.52
2009,UKG11,2016,2.27
2010,UKG11,2016,4.0
2011,UKG11,2016,6.54
2012,UKG11,2016,4.07
2013,UKG11,2016,5.18
2014,UKG11,2016,5.74
2015,UKG11,2016,5.48
2016,UKG11,2016,5.35
2017,UKG11,2016,3.46
2018,UKG11,2016,3.02
2009,UKH23,2016,1.52
2010,UKH23,2016,1.55
2011,UKH23,2016,-0.24
2012,UKH23,2016,1.23
2013,UKH23,2016,3.31
2014,UKH23,2016,3.93
2015,UKH23,2016,3.79
2016,UKH23,2016,2.23
2017,UKH23,2016,2.08
2018,UKH23,2016,1.82
2009,UKI75,2016,10.01
2010,UKI75,2016,8.67
2011,UKI75,2016,4.49
2012,UKI75,2016,5.68
2013,UKI75,2016,8.13
2014,UKI75,2016,9.36
2015,UKI75,2016,9.8
2016,UKI75,2016,7.13
2017,UKI75,2016,10.25
2018,UKI75,2016,8.18
2009,UKM83,2016,1.45
2010,UKM83,2016,1.65
2011,UKM83,2016,-0.82
2012,UKM83,2016,-1.11
2013,UKM83,2016,-0.25
2014,UKM83,2016,0.93
2015,UKM83,2016,2.12
2016,UKM83,2016,1.07
2017,UKM83,2016,0.45
2018,UKM83,2016,1.35
2009,UKM62,2016,1.28
2010,UKM62,2016,1.06
2011,UKM62,2016,-0.83
2012,UKM62,2016,-1.18
2013,UKM62,2016,-0.4
2014,UKM62,2016,0.68
2015,UKM62,2016,1.31
2016,UKM62,2016,-0.02
2017,UKM62,2016,-0.24
2018,UKM62,2016,0.67
2009,UKL11,2016,-0.97
2010,UKL11,2016,0.26
2011,UKL11,2016,0.34
2012,UKL11,2016,0.76
2013,UKL11,2016,0.8
2014,UKL11,2016,0.64
2015,UKL11,2016,0.96
2016,UKL11,2016,1.02
2017,UKL11,2016,0.93
2018,UKL11,2016,0.9
2009,UKJ34,2016,-1.21
2010,UKJ34,2016,-0.29
2011,UKJ34,2016,-0.1
2012,UKJ34,2016,0.39
2013,UKJ34,2016,1.26
2014,UKJ34,2016,1.14
2015,UKJ34,2016,1.62
2016,UKJ34,2016,1.35
2017,UKJ34,2016,1.41
2018,UKJ34,2016,0.76
2009,UKI33,2016,-5.67
2010,UKI33,2016,-1.84
2011,UKI33,2016,-1.74
2012,UKI33,2016,2.66
2013,UKI33,2016,8.79
2014,UKI33,2016,11.18
2015,UKI33,2016,8.12
2016,UKI33,2016,5.98
2017,UKI33,2016,10.28
2018,UKI33,2016,0.87
2009,UKJ43,2016,4.33
2010,UKJ43,2016,2.05
2011,UKJ43,2016,1.95
2012,UKJ43,2016,2.66
2013,UKJ43,2016,3.51
2014,UKJ43,2016,4.43
2015,UKJ43,2016,4.27
2016,UKJ43,2016,3.18
2017,UKJ43,2016,3.39
2018,UKJ43,2016,1.59
2009,UKE11,2016,6.29
2010,UKE11,2016,6.64
2011,UKE11,2016,2.23
2012,UKE11,2016,2.62
2013,UKE11,2016,2.56
2014,UKE11,2016,4.44
2015,UKE11,2016,4.9
2016,UKE11,2016,2.32
2017,UKE11,2016,3.4
2018,UKE11,2016,0.24
2009,UKI45,2016,4.29
2010,UKI45,2016,9.6
2011,UKI45,2016,5.98
2012,UKI45,2016,8.16
2013,UKI45,2016,8.27
2014,UKI45,2016,7.74
2015,UKI45,2016,5.48
2016,UKI45,2016,1.01
2017,UKI45,2016,4.5
2018,UKI45,2016,-1.63
2009,UKD44,2016,5.92
2010,UKD44,2016,6.82
2011,UKD44,2016,5.22
2012,UKD44,2016,4.62
2013,UKD44,2016,4.08
2014,UKD44,2016,5.85
2015,UKD44,2016,4.7
2016,UKD44,2016,3.19
2017,UKD44,2016,7.19
2018,UKD44,2016,8.24
2009,UKE42,2016,6.2
2010,UKE42,2016,6.11
2011,UKE42,2016,1.97
2012,UKE42,2016,1.57
2013,UKE42,2016,1.43
2014,UKE42,2016,4.69
2015,UKE42,2016,4.61
2016,UKE42,2016,2.37
2017,UKE42,2016,5.24
2018,UKE42,2016,2.93
