,year,geo_type,geo_nm,geo_cd,SIC4,value,cluster_name
192,2016,nuts 2013 level 2,Devon,UKK4,0210,95,primary_forestry
193,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0210,105,primary_forestry
194,2016,nuts 2013 level 2,East Wales,UKL2,0210,85,primary_forestry
195,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0210,290,primary_forestry
196,2016,nuts 2013 level 2,South Western Scotland,UKM3,0210,145,primary_forestry
197,2016,nuts 2013 level 2,North Eastern Scotland,UKM5,0210,80,primary_forestry
198,2016,nuts 2013 level 2,Highlands and Islands,UKM6,0210,240,primary_forestry
199,2016,nuts 2013 level 2,Northern Ireland,UKN0,0210,45,primary_forestry
200,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0220,10,primary_forestry
201,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0220,20,primary_forestry
202,2016,nuts 2013 level 2,Cumbria,UKD1,0220,20,primary_forestry
203,2016,nuts 2013 level 2,Greater Manchester,UKD3,0220,5,primary_forestry
204,2016,nuts 2013 level 2,Lancashire,UKD4,0220,5,primary_forestry
205,2016,nuts 2013 level 2,Cheshire,UKD6,0220,5,primary_forestry
206,2016,nuts 2013 level 2,Merseyside,UKD7,0220,0,primary_forestry
207,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0220,0,primary_forestry
208,2016,nuts 2013 level 2,North Yorkshire,UKE2,0220,15,primary_forestry
209,2016,nuts 2013 level 2,South Yorkshire,UKE3,0220,5,primary_forestry
210,2016,nuts 2013 level 2,West Yorkshire,UKE4,0220,10,primary_forestry
211,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0220,15,primary_forestry
212,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0220,15,primary_forestry
213,2016,nuts 2013 level 2,Lincolnshire,UKF3,0220,10,primary_forestry
214,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0220,15,primary_forestry
215,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0220,15,primary_forestry
216,2016,nuts 2013 level 2,West Midlands,UKG3,0220,5,primary_forestry
217,2016,nuts 2013 level 2,East Anglia,UKH1,0220,20,primary_forestry
218,2016,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0220,15,primary_forestry
219,2016,nuts 2013 level 2,Essex,UKH3,0220,5,primary_forestry
220,2016,nuts 2013 level 2,Inner London - West,UKI3,0220,10,primary_forestry
221,2016,nuts 2013 level 2,Inner London - East,UKI4,0220,5,primary_forestry
222,2016,nuts 2013 level 2,Outer London - East and North East,UKI5,0220,0,primary_forestry
223,2016,nuts 2013 level 2,Outer London - South,UKI6,0220,0,primary_forestry
224,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0220,0,primary_forestry
225,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0220,10,primary_forestry
226,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0220,35,primary_forestry
227,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0220,15,primary_forestry
228,2016,nuts 2013 level 2,Kent,UKJ4,0220,15,primary_forestry
229,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0220,35,primary_forestry
230,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0220,20,primary_forestry
231,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0220,5,primary_forestry
232,2016,nuts 2013 level 2,Devon,UKK4,0220,20,primary_forestry
233,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0220,30,primary_forestry
234,2016,nuts 2013 level 2,East Wales,UKL2,0220,20,primary_forestry
235,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0220,50,primary_forestry
236,2016,nuts 2013 level 2,South Western Scotland,UKM3,0220,40,primary_forestry
237,2016,nuts 2013 level 2,North Eastern Scotland,UKM5,0220,15,primary_forestry
238,2016,nuts 2013 level 2,Highlands and Islands,UKM6,0220,35,primary_forestry
239,2016,nuts 2013 level 2,Northern Ireland,UKN0,0220,5,primary_forestry
240,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0240,10,primary_forestry
241,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0240,30,primary_forestry
242,2016,nuts 2013 level 2,Cumbria,UKD1,0240,15,primary_forestry
243,2016,nuts 2013 level 2,Greater Manchester,UKD3,0240,10,primary_forestry
244,2016,nuts 2013 level 2,Lancashire,UKD4,0240,15,primary_forestry
245,2016,nuts 2013 level 2,Cheshire,UKD6,0240,10,primary_forestry
246,2016,nuts 2013 level 2,Merseyside,UKD7,0240,5,primary_forestry
247,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0240,10,primary_forestry
248,2016,nuts 2013 level 2,North Yorkshire,UKE2,0240,20,primary_forestry
249,2016,nuts 2013 level 2,South Yorkshire,UKE3,0240,15,primary_forestry
250,2016,nuts 2013 level 2,West Yorkshire,UKE4,0240,20,primary_forestry
251,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0240,30,primary_forestry
252,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0240,25,primary_forestry
253,2016,nuts 2013 level 2,Lincolnshire,UKF3,0240,15,primary_forestry
254,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0240,40,primary_forestry
255,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0240,35,primary_forestry
256,2016,nuts 2013 level 2,West Midlands,UKG3,0240,20,primary_forestry
257,2016,nuts 2013 level 2,East Anglia,UKH1,0240,40,primary_forestry
258,2016,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0240,30,primary_forestry
259,2016,nuts 2013 level 2,Essex,UKH3,0240,25,primary_forestry
260,2016,nuts 2013 level 2,Inner London - West,UKI3,0240,5,primary_forestry
261,2016,nuts 2013 level 2,Inner London - East,UKI4,0240,10,primary_forestry
262,2016,nuts 2013 level 2,Outer London - East and North East,UKI5,0240,15,primary_forestry
263,2016,nuts 2013 level 2,Outer London - South,UKI6,0240,10,primary_forestry
264,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0240,15,primary_forestry
265,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0240,45,primary_forestry
266,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0240,65,primary_forestry
267,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0240,40,primary_forestry
268,2016,nuts 2013 level 2,Kent,UKJ4,0240,25,primary_forestry
269,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0240,40,primary_forestry
270,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0240,30,primary_forestry
271,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0240,20,primary_forestry
272,2016,nuts 2013 level 2,Devon,UKK4,0240,25,primary_forestry
273,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0240,50,primary_forestry
274,2016,nuts 2013 level 2,East Wales,UKL2,0240,25,primary_forestry
275,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0240,55,primary_forestry
276,2016,nuts 2013 level 2,South Western Scotland,UKM3,0240,65,primary_forestry
277,2016,nuts 2013 level 2,North Eastern Scotland,UKM5,0240,10,primary_forestry
278,2016,nuts 2013 level 2,Highlands and Islands,UKM6,0240,65,primary_forestry
279,2016,nuts 2013 level 2,Northern Ireland,UKN0,0240,10,primary_forestry
280,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0311,25,primary_fishing
281,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0311,85,primary_fishing
282,2016,nuts 2013 level 2,Cumbria,UKD1,0311,35,primary_fishing
283,2016,nuts 2013 level 2,Greater Manchester,UKD3,0311,5,primary_fishing
284,2016,nuts 2013 level 2,Lancashire,UKD4,0311,20,primary_fishing
285,2016,nuts 2013 level 2,Cheshire,UKD6,0311,0,primary_fishing
286,2016,nuts 2013 level 2,Merseyside,UKD7,0311,5,primary_fishing
287,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0311,90,primary_fishing
288,2016,nuts 2013 level 2,North Yorkshire,UKE2,0311,75,primary_fishing
289,2016,nuts 2013 level 2,South Yorkshire,UKE3,0311,5,primary_fishing
290,2016,nuts 2013 level 2,West Yorkshire,UKE4,0311,0,primary_fishing
291,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0311,0,primary_fishing
292,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0311,0,primary_fishing
293,2016,nuts 2013 level 2,Lincolnshire,UKF3,0311,20,primary_fishing
294,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0311,5,primary_fishing
295,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0311,5,primary_fishing
296,2016,nuts 2013 level 2,West Midlands,UKG3,0311,0,primary_fishing
297,2016,nuts 2013 level 2,East Anglia,UKH1,0311,95,primary_fishing
298,2016,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0311,5,primary_fishing
299,2016,nuts 2013 level 2,Essex,UKH3,0311,45,primary_fishing
300,2016,nuts 2013 level 2,Inner London - West,UKI3,0311,5,primary_fishing
301,2016,nuts 2013 level 2,Inner London - East,UKI4,0311,5,primary_fishing
302,2016,nuts 2013 level 2,Outer London - East and North East,UKI5,0311,0,primary_fishing
303,2016,nuts 2013 level 2,Outer London - South,UKI6,0311,0,primary_fishing
304,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0311,0,primary_fishing
305,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0311,5,primary_fishing
306,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0311,125,primary_fishing
307,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0311,60,primary_fishing
308,2016,nuts 2013 level 2,Kent,UKJ4,0311,45,primary_fishing
309,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0311,10,primary_fishing
310,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0311,100,primary_fishing
311,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0311,285,primary_fishing
312,2016,nuts 2013 level 2,Devon,UKK4,0311,190,primary_fishing
313,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0311,150,primary_fishing
314,2016,nuts 2013 level 2,East Wales,UKL2,0311,10,primary_fishing
315,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0311,145,primary_fishing
