,year,nuts_id,nuts_year_spec,air_pollution_mean_pm10
451,2018,UKC1,2016,16.52658
452,2018,UKC2,2016,14.45701
453,2018,UKD1,2016,13.55887
454,2018,UKD3,2016,15.77303
455,2018,UKD4,2016,15.47726
456,2018,UKD6,2016,15.21965
457,2018,UKD7,2016,16.78901
458,2018,UKE1,2016,21.98302
459,2018,UKE2,2016,17.92214
460,2018,UKE3,2016,18.6813
461,2018,UKE4,2016,20.3268
462,2018,UKF1,2016,19.55696
463,2018,UKF2,2016,18.83321
464,2018,UKF3,2016,19.74577
465,2018,UKG1,2016,20.49984
466,2018,UKG2,2016,17.91911
467,2018,UKG3,2016,19.26961
468,2018,UKH1,2016,20.49011
469,2018,UKH2,2016,19.31434
470,2018,UKH3,2016,21.0455
471,2018,UKI3,2016,21.20671
472,2018,UKI4,2016,21.70354
473,2018,UKI5,2016,22.09186
474,2018,UKI6,2016,19.46517
475,2018,UKI7,2016,20.16895
476,2018,UKJ1,2016,20.11308
477,2018,UKJ2,2016,19.15791
478,2018,UKJ3,2016,19.60709
479,2018,UKJ4,2016,22.09746
480,2018,UKK1,2016,19.6745
481,2018,UKK2,2016,17.491670000000006
482,2018,UKK3,2016,18.55021
483,2018,UKK4,2016,15.67823
484,2018,UKL1,2016,16.84403
485,2018,UKL2,2016,16.62257
486,2018,UKM5,2016,12.68433
487,2018,UKM6,2016,10.47011
488,2018,UKM7,2016,14.22783
489,2018,UKM8,2016,13.113979999999998
490,2018,UKM9,2016,13.04207
491,2018,UKN0,2016,17.91923
